"0x4AEA","0x4AEA","Cryptoguard AB","Cryptoguard AB","2007-12-07"
"0x4AEB","0x4AEB","Abel DRM Systems AS","Abel DRM Systems AS","2007-10-30"
"0x4AEC","0x4AEC","FTS DVL SRL","FTS DVL SRL","2007-11-27"
"0x4AED","0x4AED","Unitend Technologies, Inc.","Unitend Technologies, Inc.","2008-02-16"
"0x4AEE","0x4AEE","Deltacom Electronics OOD","Deltacom Electronics OOD","2008-02-16"
"0x4AEF","0x4AEF","NetUP Inc.","NetUP Inc.","2008-04-19"
"0x4AF0","0x4AF0","ABV International","ABV International","2008-01-21"
"0x4AF1","0x4AF1","China DTV Media Inc., Ltd. #1","China DTV Media Inc., Ltd. #1","2008-01-18"
"0x4AF2","0x4AF2","China DTV Media Inc., Ltd. #2","China DTV Media Inc., Ltd. #2","2008-08-05"
"0x4AF3","0x4AF3","Baustem Information Technologies, Ltd.","Baustem Information Technologies, Ltd.","2008-07-07"
"0x4AF4","0x4AF4","Marlin Developer Community, LLC","Marlin Developer Community, LLC","2008-08-05"
"0x4AF5","0x4AF5","SecureMedia","SecureMedia","2008-08-15"
"0x4AF6","0x4AF6","Tongfang CAS","Tongfang CAS","2008-09-02"
"0x4AF7","0x4AF7","MSA","MSA","2008-11-05"
"0x4AF8","0x4AF8","Griffin CAS","Griffin CAS","2008-12-02"
"0x4AF9","0x4AFA","Beijing Topreal Technologies Co., Ltd","Beijing Topreal Technologies Co., Ltd","2008-12-03"
"0x4AFB","0x4AFB","NST","NST","2009-06-08"
"0x4AFC","0x4AFC","Panaccess Systems GmbH","Panaccess Systems GmbH","2009-06-10"
"0x4AFD","0x4AFD","Comteza SIA","Comteza SIA","2014-02-19"
"0x4B00","0x4B02","Tongfang CAS","Tongfang CAS","2009-03-30"
"0x4B03","0x4B03","DuoCrypt","DuoCrypt","2009-03-28"
"0x4B04","0x4B04","Great Wall CAS","Great Wall CAS","2009-05-05"
"0x4B05","0x4B06","DIGICAP","DIGICAP","2009-07-21"
"0x4B07","0x4B07","Wuhan Reikost Technology Co., Ltd.","Wuhan Reikost Technology Co., Ltd.","2010-04-26"
"0x4B08","0x4B08","Philips","Philips","2010-04-27"
"0x4B09","0x4B09","Ambernetas","Ambernetas","2010-05-10"
"0x4B0A","0x4B0B","Beijing Sumavision Technologies CO. LTD.","Beijing Sumavision Technologies CO. LTD.","2010-05-17"
"0x4B0C","0x4B0F",,"Sichuan changhong electric co.,ltd.","2010-05-25"
"0x4B10","0x4B10","Exterity Limited","Exterity Limited","2010-06-29"
"0x4B11","0x4B12","Advanced Digital Platform Technologies","Advanced Digital Platform Technologies","2010-07-09"
"0x4B13","0x4B14","Microsoft Corporation","Microsoft Corporation","2011-08-02"
"0x4B19","0x4B19","RIDSYS","RIDSYS","2016-08-29"
"0x4B20","0x4B22","MULTIKOM DELTASAT GmbH Co KG","MULTIKOM DELTASAT GmbH Co KG","2011-12-19"
"0x4B23","0x4B23","SkyNLand Video Networks Pvt Ltd","SkyNLand Video Networks Pvt Ltd","2012-11-21"
"0x4B24","0x4B24","Prowill AB","Prowill AB","2014-07-21"
"0x4B25","0x4B25","SURESOFT SYSTEMS PVT LTD","SURESOFT SYSTEMS PVT LTD","2014-12-02"
"0x4B26","0x4B26","Unitend Technologies, Inc.","Unitend Technologies, Inc.","2015-07-01"
"0x4B30","0x4B30","Vietnam Multimedia Corporation (VTC)","Vietnam Multimedia Corporation (VTC)","2014-08-25"
"0x4B31","0x4B31","Vietnam Multimedia Corporation (VTC)","Vietnam Multimedia Corporation (VTC)","2015-07-27"
"0x4B3A","0x4B3A","ipanel","ipanel","2015-12-16"
